Gene	Symbol	logFC	logCPM	PValue	FDR	UHR_Rep1	UHR_Rep2	UHR_Rep3	HBR_Rep1	HBR_Rep2	HBR_Rep3
ENSG00000008735	MAPK8IP2	-5.77246134796536	11.0015798667181	0	0	13	17	8	397	531	466
ENSG00000100095	SEZ6L	-5.41809969461722	10.9568127145503	0	0	15	13	19	393	499	452
ENSG00000100167	SEPT3	-4.67601313753789	11.9434865752832	0	0	55	39	55	738	917	876
ENSG00000100321	SYNGR1	-4.82050329629467	11.9740908286879	0	0	51	46	41	756	987	853
ENSG00000128245	YWHAH	-2.65717712176941	12.6242267540693	0	0	332	217	290	1024	1351	1139
ENSG00000211677	IGLC2	12.597085220189	11.7117797841618	0	0	1205	709	894	0	0	0
ENSG00000225783	MIAT	-4.0975522703455	11.587099758385	0	0	64	46	62	600	683	670
ERCC-00130	ERCC-00130	2.05059455102012	16.8216682149818	0	0	34882	22442	28573	4042	5337	4382
ERCC-00004	ERCC-00004	2.37559103673602	13.9182347242706	9.99890251679773e-317	4.9883413672625e-315	4590	3332	3690	455	538	497
ENSG00000185686	PRAME	11.9936916765144	11.1377490384105	1.89304352986999e-299	8.49976544911626e-298	800	457	592	0	0	0
ENSG00000251322	SHANK3	-4.10416554500824	10.7323699704239	3.92528561512652e-265	1.60223021926528e-263	41	23	33	340	415	354
ERCC-00136	ERCC-00136	2.19555443320039	12.9016594125173	2.18351966572256e-263	8.17000274924524e-262	2222	1529	1798	259	302	243
ENSG00000130540	SULT4A1	-6.75223516974844	10.3080653752334	6.23125455624786e-258	2.1521794582733e-256	4	5	3	283	324	281
ENSG00000184702	SEPT5	-2.9272622273008	11.4851487199865	1.05864372403225e-255	3.39522165778914e-254	137	96	101	493	642	551
ENSG00000100427	MLC1	-5.28402107377861	10.3824225517888	3.52931538848987e-240	1.0564417396213e-238	13	10	12	292	319	302
ENSG00000167074	TEF	-3.94346707684117	10.6686913149236	1.87177593659405e-238	5.25267122206705e-237	43	32	28	331	382	340
