GeneID	UHR_Rep1	UHR_Rep2	UHR_Rep3	HBR_Rep1	HBR_Rep2	HBR_Rep3
ENSG00000008735	13	17	8	397	531	466
ENSG00000015475	103	64	100	40	42	48
ENSG00000025708	46	16	26	13	11	19
ENSG00000025770	188	116	154	73	78	71
ENSG00000040608	18	8	11	69	91	81
ENSG00000054611	70	47	66	36	43	40
ENSG00000056487	12	13	7	11	10	4
ENSG00000063515	0	0	0	0	0	0
ENSG00000069998	123	76	137	25	40	33
ENSG00000070010	228	162	170	42	65	52
ENSG00000070371	82	51	64	26	33	29
ENSG00000070413	297	163	262	294	341	303
ENSG00000073146	0	4	0	3	5	1
ENSG00000073150	6	7	6	52	65	72
ENSG00000073169	62	29	64	46	54	30
ENSG00000075218	134	92	109	2	2	1
ENSG00000075234	80	61	71	20	23	16
ENSG00000075240	147	87	130	90	101	67
ENSG00000075275	231	126	187	0	2	0
ENSG00000077935	3	4	4	0	0	0
ENSG00000077942	117	85	108	40	45	32
ENSG00000079974	64	43	43	64	57	51
ENSG00000093000	393	284	313	125	159	146
ENSG00000093009	184	119	160	0	0	0
ENSG00000093010	189	105	168	78	98	80
ENSG00000093072	38	26	22	26	25	28
ENSG00000093100	1	1	1	3	5	4
ENSG00000099889	68	31	40	116	132	115
ENSG00000099899	179	83	137	52	73	44
ENSG00000099901	581	389	464	54	75	71
ENSG00000099904	95	72	78	83	78	81
ENSG00000099910	58	41	54	56	75	74
ENSG00000099917	231	138	196	87	103	86
ENSG00000099937	150	100	117	1	2	0
ENSG00000099940	129	85	89	40	54	50
ENSG00000099942	752	477	609	337	417	364
ENSG00000099949	263	164	204	112	139	107
ENSG00000099953	37	20	27	1	0	2
ENSG00000099954	111	77	94	107	80	113
ENSG00000099956	160	127	133	64	73	58
ENSG00000099957	20	14	24	18	14	15
ENSG00000099958	67	39	62	2	1	4
ENSG00000099960	1	0	1	19	25	15
ENSG00000099968	233	158	191	199	269	251
ENSG00000099974	2	1	4	1	1	1
ENSG00000099977	73	45	77	21	15	17
ENSG00000099984	0	0	0	0	0	0
ENSG00000099985	0	0	1	0	0	0
ENSG00000099991	466	264	346	257	284	270
ENSG00000099992	35	26	38	11	9	18
ENSG00000099994	11	14	10	8	8	7
ENSG00000099995	366	250	281	174	231	175
ENSG00000099998	9	1	2	19	28	18
ENSG00000099999	54	36	44	54	61	40
ENSG00000100003	26	19	27	49	72	60
ENSG00000100012	0	0	0	0	0	0
ENSG00000100014	160	89	101	66	82	73
ENSG00000100023	229	140	211	63	64	70
ENSG00000100024	1	4	1	0	1	1
ENSG00000100027	31	15	20	61	96	69
ENSG00000100028	277	199	245	62	85	88
ENSG00000100029	252	192	240	62	73	60
ENSG00000100030	821	486	652	734	940	891
ENSG00000100031	83	44	62	6	10	8
ENSG00000100033	46	28	43	108	130	133
ENSG00000100034	238	159	193	86	111	115
ENSG00000100036	21	13	13	17	34	28
ENSG00000100038	169	152	155	38	48	52
ENSG00000100053	0	0	0	0	0	0
ENSG00000100055	18	15	11	9	18	12
ENSG00000100056	78	39	65	46	51	37
ENSG00000100058	48	29	47	18	21	18
ENSG00000100060	69	28	43	4	5	6
ENSG00000100065	84	65	66	1	5	5
ENSG00000100068	30	17	24	7	4	4
ENSG00000100075	208	126	201	26	44	33
ENSG00000100077	161	117	116	196	272	247
ENSG00000100078	12	9	6	0	1	0
ENSG00000100079	2	1	1	0	0	0
ENSG00000100083	272	167	198	99	130	113
ENSG00000100084	66	33	48	23	23	14
ENSG00000100092	77	40	53	18	13	15
ENSG00000100095	15	13	19	393	499	452
ENSG00000100097	720	441	602	75	88	76
ENSG00000100099	291	185	242	107	165	167
ENSG00000100100	41	24	29	103	152	121
ENSG00000100101	0	0	0	0	0	0
ENSG00000100104	81	60	69	44	55	65
ENSG00000100105	184	110	132	70	70	56
ENSG00000100106	179	108	144	39	24	26
ENSG00000100109	161	83	105	61	87	49
ENSG00000100116	65	46	48	32	26	29
ENSG00000100121	0	0	0	0	0	0
ENSG00000100122	2	2	4	1	0	1
ENSG00000100124	87	43	69	26	46	45
ENSG00000100129	731	459	611	207	233	214
ENSG00000100138	353	210	281	165	197	176
ENSG00000100139	143	86	106	47	61	59
ENSG00000100142	12	8	7	14	25	13
ENSG00000100146	116	72	89	87	131	113
ENSG00000100147	32	17	24	6	14	14
ENSG00000100150	75	39	56	44	72	59
ENSG00000100151	36	28	48	75	74	72
ENSG00000100154	177	99	103	77	112	72
ENSG00000100156	0	1	0	1	3	1
ENSG00000100162	57	31	44	0	3	1
ENSG00000100167	55	39	55	738	917	876
ENSG00000100170	0	2	0	0	0	0
ENSG00000100181	113	73	88	18	16	14
ENSG00000100191	8	3	3	2	1	1
ENSG00000100196	86	83	77	2	2	1
ENSG00000100197	2	1	0	0	0	2
ENSG00000100201	2766	1772	2196	1507	1772	1599
ENSG00000100206	13	8	8	2	3	0
ENSG00000100207	454	278	348	203	254	205
ENSG00000100209	37	23	18	5	7	9
ENSG00000100211	29	18	30	8	18	17
ENSG00000100216	174	109	155	51	67	50
ENSG00000100218	0	0	0	3	4	2
ENSG00000100219	1016	619	720	64	91	71
ENSG00000100220	328	173	239	105	144	121
ENSG00000100221	252	197	204	142	152	127
ENSG00000100225	417	356	357	154	168	185
ENSG00000100226	312	163	228	133	169	132
ENSG00000100227	252	162	205	131	149	143
ENSG00000100228	15	8	12	22	26	31
ENSG00000100234	793	484	598	190	253	234
ENSG00000100239	182	122	152	138	210	220
ENSG00000100241	487	310	391	638	809	656
ENSG00000100242	338	186	294	391	504	427
ENSG00000100243	362	240	296	120	157	124
ENSG00000100246	46	17	26	19	40	33
ENSG00000100249	0	0	0	0	0	0
ENSG00000100253	1	0	1	0	0	0
ENSG00000100258	161	106	156	51	68	63
ENSG00000100263	67	51	58	22	35	23
ENSG00000100266	230	157	197	100	119	101
ENSG00000100271	11	12	20	21	34	25
ENSG00000100276	0	0	0	8	26	17
ENSG00000100280	340	223	257	217	254	242
ENSG00000100281	112	93	94	29	42	46
ENSG00000100284	77	47	64	92	113	94
ENSG00000100285	26	23	21	194	258	243
ENSG00000100288	12	15	11	6	9	9
ENSG00000100290	3	3	5	0	1	0
ENSG00000100292	82	51	81	13	18	12
ENSG00000100294	40	23	32	14	24	24
ENSG00000100296	195	119	135	67	112	57
ENSG00000100297	513	271	422	26	30	33
ENSG00000100298	0	0	0	0	0	0
ENSG00000100299	55	42	49	41	44	57
ENSG00000100300	131	82	110	12	10	13
ENSG00000100302	13	12	15	52	78	57
ENSG00000100304	261	203	226	52	89	56
ENSG00000100307	24	24	27	261	355	302
ENSG00000100311	38	24	41	30	41	26
ENSG00000100312	0	0	0	0	0	0
ENSG00000100314	2	1	5	21	26	29
ENSG00000100316	3988	2378	3021	653	754	716
ENSG00000100319	39	27	19	17	16	12
ENSG00000100320	495	346	392	605	708	682
ENSG00000100321	51	46	41	756	987	853
ENSG00000100324	77	63	83	89	77	67
ENSG00000100325	121	77	111	29	33	31
ENSG00000100330	197	121	152	210	258	234
ENSG00000100335	301	155	198	89	117	112
ENSG00000100336	9	4	4	9	5	7
ENSG00000100341	0	1	0	3	2	2
ENSG00000100342	78	60	72	4	9	6
ENSG00000100344	31	25	28	5	3	2
ENSG00000100345	2586	1552	2046	420	479	457
ENSG00000100346	2	2	0	99	129	126
ENSG00000100347	140	119	104	43	42	48
ENSG00000100348	75	43	34	27	40	35
ENSG00000100350	204	101	118	71	99	103
ENSG00000100351	55	39	42	1	0	1
ENSG00000100353	705	463	608	94	110	127
ENSG00000100354	503	303	383	561	654	561
ENSG00000100359	171	99	145	114	152	118
ENSG00000100360	72	47	60	48	53	54
ENSG00000100362	24	16	15	96	120	99
ENSG00000100364	250	160	187	297	345	300
ENSG00000100365	24	18	16	3	7	1
ENSG00000100368	46	35	38	2	3	4
ENSG00000100372	105	83	107	32	37	35
ENSG00000100373	2	1	1	0	0	0
ENSG00000100376	90	51	81	42	44	39
ENSG00000100379	26	15	11	38	69	65
ENSG00000100380	858	620	740	379	449	450
ENSG00000100385	6	4	4	1	0	0
ENSG00000100387	110	70	80	41	56	48
ENSG00000100393	562	311	394	296	388	398
ENSG00000100395	142	105	96	91	101	83
ENSG00000100399	1	1	0	32	37	38
ENSG00000100401	431	281	365	237	302	246
ENSG00000100403	442	280	357	403	510	465
ENSG00000100410	132	75	82	33	33	16
ENSG00000100412	331	227	270	423	525	463
ENSG00000100413	150	82	112	113	104	108
ENSG00000100416	166	97	115	59	67	63
ENSG00000100417	55	32	29	29	41	49
ENSG00000100418	178	126	128	123	179	154
ENSG00000100422	284	180	235	203	240	256
ENSG00000100425	164	107	140	80	100	95
ENSG00000100426	181	142	150	29	40	45
ENSG00000100427	13	10	12	292	319	302
ENSG00000100429	29	13	24	9	10	19
ENSG00000128159	256	162	194	228	276	224
ENSG00000128165	27	21	31	0	1	1
ENSG00000128185	93	45	80	41	39	35
ENSG00000128191	257	166	215	66	94	65
ENSG00000128203	19	10	21	56	72	94
ENSG00000128218	0	0	1	0	0	0
ENSG00000128228	50	32	42	5	14	3
ENSG00000128242	3	3	3	17	13	15
ENSG00000128245	332	217	290	1024	1351	1139
ENSG00000128250	0	0	0	0	0	0
ENSG00000128253	0	0	0	7	1	9
ENSG00000128254	1	0	0	0	1	2
ENSG00000128262	0	1	0	1	1	2
ENSG00000128266	33	17	26	230	260	225
ENSG00000128268	33	14	23	252	321	268
ENSG00000128271	1	0	0	1	3	0
ENSG00000128272	1338	815	1048	288	350	305
ENSG00000128274	34	20	23	7	5	2
ENSG00000128276	0	0	0	0	0	0
ENSG00000128283	140	74	120	62	96	62
ENSG00000128284	31	23	17	6	2	10
ENSG00000128285	0	3	1	12	21	17
ENSG00000128294	77	39	81	38	36	34
ENSG00000128298	11	5	6	0	7	2
ENSG00000128309	129	73	112	34	29	33
ENSG00000128310	0	1	0	0	0	1
ENSG00000128311	88	59	50	17	20	17
ENSG00000128313	0	0	0	0	0	0
ENSG00000128322	0	0	2	0	0	0
ENSG00000128335	126	102	98	101	137	123
ENSG00000128340	107	74	87	7	8	5
ENSG00000128342	152	96	106	2	3	3
ENSG00000128346	4	2	4	4	1	0
ENSG00000128383	0	0	0	0	0	0
ENSG00000128394	6	5	5	1	1	0
ENSG00000128408	12	8	3	0	3	1
ENSG00000130487	3	7	1	0	0	1
ENSG00000130489	39	24	37	5	16	6
ENSG00000130538	0	0	0	0	0	0
ENSG00000130540	4	5	3	283	324	281
ENSG00000130638	184	141	160	191	244	239
ENSG00000130943	0	1	0	1	0	1
ENSG00000131100	239	173	196	381	445	381
ENSG00000133422	150	88	144	72	85	55
ENSG00000133424	78	48	79	165	202	190
ENSG00000133433	4	3	3	3	0	3
ENSG00000133454	71	68	58	0	0	0
ENSG00000133460	26	35	33	49	53	43
ENSG00000133466	89	60	72	6	4	9
ENSG00000133475	1	1	0	0	0	0
ENSG00000133477	28	19	13	0	1	6
ENSG00000133488	2	1	4	0	0	0
ENSG00000133519	0	1	3	19	16	14
ENSG00000138867	379	212	286	59	59	57
ENSG00000138892	0	0	0	0	0	0
ENSG00000138942	115	94	103	63	109	75
ENSG00000138944	160	109	133	147	203	173
ENSG00000138964	27	26	18	15	13	11
ENSG00000159307	7	12	5	0	7	3
ENSG00000159496	0	3	1	0	2	0
ENSG00000159873	255	173	172	66	74	53
ENSG00000159958	11	9	11	5	2	3
ENSG00000161103	0	1	1	0	0	0
ENSG00000161132	0	1	0	0	2	0
ENSG00000161133	2	0	0	0	0	0
ENSG00000161149	10	8	8	5	6	10
ENSG00000161179	152	79	121	16	25	24
ENSG00000161180	5	2	1	2	0	1
ENSG00000166862	0	0	0	31	30	44
ENSG00000166897	19	9	26	115	148	121
ENSG00000167037	4	3	5	128	161	131
ENSG00000167065	18	14	9	8	9	15
ENSG00000167074	43	32	28	331	382	340
ENSG00000167077	4	1	2	1	1	1
ENSG00000168135	2	0	3	65	81	58
ENSG00000169184	116	86	123	44	34	29
ENSG00000169314	0	1	2	0	0	0
ENSG00000169548	9	10	12	0	0	0
ENSG00000169575	1	0	1	0	0	0
ENSG00000169635	207	106	138	26	24	26
ENSG00000169662	0	0	0	0	0	0
ENSG00000169668	0	0	0	0	0	0
ENSG00000170638	112	79	91	23	27	21
ENSG00000172250	0	0	0	2	1	0
ENSG00000172346	4	2	0	68	89	62
ENSG00000172404	0	0	0	0	0	0
ENSG00000172912	0	0	0	0	0	0
ENSG00000172967	1	1	6	0	0	0
ENSG00000175329	1	3	1	0	0	0
ENSG00000176177	2	0	3	0	0	0
ENSG00000176635	1	0	0	0	0	0
ENSG00000177096	6	3	5	9	2	4
ENSG00000177663	87	66	77	55	63	57
ENSG00000177989	7	7	7	3	8	2
ENSG00000177993	0	0	0	0	0	0
ENSG00000178026	20	19	21	18	25	22
ENSG00000178248	0	0	0	0	0	0
ENSG00000178803	0	2	0	0	0	0
ENSG00000179750	25	23	19	1	0	0
ENSG00000180150	0	0	0	0	0	0
ENSG00000180957	102	80	81	77	88	62
ENSG00000181123	0	0	0	0	0	0
ENSG00000182057	7	3	3	0	1	0
ENSG00000182257	1	1	0	2	0	1
ENSG00000182351	0	0	0	0	0	0
ENSG00000182541	94	56	80	46	69	49
ENSG00000182824	0	1	0	0	0	0
ENSG00000182841	57	41	39	23	30	22
ENSG00000182858	86	43	60	32	56	62
ENSG00000182902	1	3	5	88	104	77
ENSG00000182944	866	631	797	314	338	332
ENSG00000183066	5	4	1	10	8	6
ENSG00000183169	0	1	0	0	0	0
ENSG00000183172	23	14	21	24	38	33
ENSG00000183246	0	1	0	0	0	0
ENSG00000183307	9	5	4	25	42	30
ENSG00000183506	83	55	59	29	30	30
ENSG00000183530	408	280	326	211	265	225
ENSG00000183569	8	3	7	1	5	5
ENSG00000183579	95	86	80	92	101	97
ENSG00000183597	94	51	54	48	64	61
ENSG00000183628	15	13	14	58	76	66
ENSG00000183741	358	234	298	736	873	828
ENSG00000183762	75	57	69	50	62	35
ENSG00000183765	82	62	86	1	5	0
ENSG00000183773	7	7	9	80	76	91
ENSG00000183785	0	1	0	16	16	16
ENSG00000183822	0	0	0	0	0	0
ENSG00000183864	170	114	141	193	266	189
ENSG00000183963	135	85	136	32	36	34
ENSG00000184058	5	6	6	1	0	1
ENSG00000184068	3	0	1	2	2	2
ENSG00000184076	185	96	136	81	93	103
ENSG00000184113	0	1	0	60	85	56
ENSG00000184117	305	199	243	103	122	120
ENSG00000184164	64	57	50	30	39	40
ENSG00000184208	54	45	48	34	36	32
ENSG00000184319	26	19	30	32	53	49
ENSG00000184381	88	47	55	64	60	72
ENSG00000184436	92	73	85	34	54	36
ENSG00000184459	0	0	0	0	0	0
ENSG00000184470	67	57	65	38	44	34
ENSG00000184571	1	0	0	0	0	0
ENSG00000184624	0	1	0	0	0	0
ENSG00000184702	137	96	101	493	642	551
ENSG00000184708	67	58	60	88	96	87
ENSG00000184792	96	42	77	105	114	83
ENSG00000184949	37	37	20	14	9	12
ENSG00000184979	26	11	18	2	6	2
ENSG00000184983	163	106	124	60	95	73
ENSG00000185022	90	57	62	27	25	19
ENSG00000185065	1	6	2	3	4	1
ENSG00000185133	4	4	12	56	73	51
ENSG00000185252	110	76	90	37	39	41
ENSG00000185264	0	0	0	0	0	0
ENSG00000185339	56	47	42	18	25	23
ENSG00000185340	31	22	34	73	77	64
ENSG00000185386	21	20	25	56	82	73
ENSG00000185608	105	64	83	27	33	29
ENSG00000185651	459	298	328	203	238	195
ENSG00000185666	9	6	8	64	98	71
ENSG00000185686	800	457	592	0	0	0
ENSG00000185721	178	137	144	77	96	92
ENSG00000185837	1	1	0	0	0	1
ENSG00000185838	36	34	31	12	16	7
ENSG00000186575	435	294	331	195	257	229
ENSG00000186654	23	17	11	9	6	4
ENSG00000186716	310	186	255	221	338	289
ENSG00000186732	1	1	2	120	147	135
ENSG00000186951	182	136	129	63	96	79
ENSG00000186976	3	0	2	29	36	32
ENSG00000186998	8	4	6	11	17	24
ENSG00000187012	0	0	0	0	0	0
ENSG00000187045	3	1	2	0	0	0
ENSG00000187051	128	93	94	70	87	70
ENSG00000187792	79	47	39	25	47	31
ENSG00000187860	8	8	3	2	16	8
ENSG00000187905	0	0	1	0	1	0
ENSG00000187979	0	0	1	0	0	0
ENSG00000188064	9	7	14	6	10	6
ENSG00000188078	0	0	0	0	0	0
ENSG00000188130	101	64	107	52	52	54
ENSG00000188263	0	1	1	0	1	1
ENSG00000188280	0	1	0	0	0	0
ENSG00000188511	22	12	20	1	2	2
ENSG00000188636	237	148	180	174	257	172
ENSG00000188677	165	133	139	69	84	66
ENSG00000189060	251	162	186	103	145	109
ENSG00000189269	0	0	1	0	1	1
ENSG00000189295	0	0	0	0	0	0
ENSG00000189306	157	86	123	57	94	87
ENSG00000196236	150	106	124	30	41	37
ENSG00000196419	1407	964	1110	360	409	370
ENSG00000196431	0	1	1	1	0	0
ENSG00000196576	451	272	348	216	265	231
ENSG00000196588	116	68	82	121	118	89
ENSG00000197077	160	98	142	129	157	132
ENSG00000197182	43	41	30	53	100	64
ENSG00000197210	0	0	0	0	0	0
ENSG00000197421	0	0	1	0	0	0
ENSG00000197549	0	0	0	0	0	0
ENSG00000198062	7	5	10	0	0	1
ENSG00000198089	106	80	103	94	90	88
ENSG00000198125	9	7	8	0	1	0
ENSG00000198355	156	100	110	43	56	51
