Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000206195	DUXAP8	22	+	15784959	15829984	0.282236	52.024742	77.325455
ENSG00000271127	LL22NC03-N64E9.1	22	+	15796959	15798346	0.000000	0.000000	0.000000
ENSG00000232775	BMS1P22	22	-	15805263	15820884	0.000000	0.000000	0.000000
ENSG00000272872	LL22NC03-N14H11.1	22	+	15823197	15823890	0.749280	38.517124	57.248798
ENSG00000271672	DUXAP8	22	+	15826566	15827187	0.000000	0.000000	0.000000
ENSG00000237689	AC007064.24	22	+	16869478	16871126	0.000000	0.000000	0.000000
ENSG00000237438	CECR7	22	+	17036570	17060825	0.400853	69.826324	103.784309
ENSG00000273203	AC006946.16	22	+	17067821	17070675	0.386690	19.877996	29.545080
ENSG00000100181	TPTEP1	22	+	16601887	16698742	0.158950	35.501625	52.766800
ENSG00000283633	AC005301.9	22	+	16601911	16615111	0.102572	10.235249	15.212863
ENSG00000267338	KB-7G2.9	22	+	16616170	16617114	0.000000	0.000000	0.000000
ENSG00000249288	SLC25A15P5	22	-	16645695	16646581	0.000000	0.000000	0.000000
ENSG00000249263	PARP4P3	22	-	16653892	16659628	0.000000	0.000000	0.000000
ENSG00000189295	ANKRD62P1-PARP4P3	22	-	16654066	16675540	0.000000	0.000000	0.000000
ENSG00000259271	ANKRD62P1	22	-	16671090	16679493	0.000000	0.000000	0.000000
ENSG00000273244	KB-7G2.8	22	-	16676016	16694648	0.000000	0.000000	0.000000
ENSG00000241717	VWFP1	22	-	16690103	16704477	0.000000	0.000000	0.000000
ENSG00000235478	AC006946.15	22	+	17121586	17132104	0.180945	10.718615	15.931300
ENSG00000280156	AC006548.28	22	-	16950086	17034417	0.002134	0.109699	0.163048
ENSG00000215568	GAB4	22	-	16961936	17008222	0.000000	0.000000	0.000000
ENSG00000270226	AC006548.26	22	+	17012404	17012932	0.000000	0.000000	0.000000
ENSG00000276400	VN1R9P	22	-	17021398	17022570	0.000000	0.000000	0.000000
ENSG00000177663	IL17RA	22	+	17084954	17115694	1.015715	54.847164	81.520477
ENSG00000235328	AC006946.12	22	-	17093612	17093939	0.000000	0.000000	0.000000
ENSG00000069998	CECR5	22	-	17137511	17165287	0.872974	97.900314	145.511261
ENSG00000185837	CECR5-AS1	22	+	17159384	17165445	0.000000	0.000000	0.000000
ENSG00000183307	CECR6	22	-	17116299	17121367	0.828566	43.581593	64.776230
ENSG00000093072	CECR1	22	-	17178790	17221989	0.746983	49.614342	73.742821
ENSG00000236325	AC005300.5	22	+	17192936	17193308	0.000000	0.000000	0.000000
ENSG00000203416	FAM32BP	22	+	17213516	17214155	0.000000	0.000000	0.000000
ENSG00000099954	CECR2	22	+	17359949	17558149	0.156424	115.569778	171.773758
ENSG00000229492	AC004019.10	22	+	17418697	17419828	0.014134	0.726566	1.079909
ENSG00000232305	CLCP1	22	-	17424388	17424775	0.000000	0.000000	0.000000
ENSG00000228045	DNAJA1P6	22	-	17518676	17519029	0.000000	0.000000	0.000000
ENSG00000182902	SLC25A18	22	+	17563439	17590994	3.384729	394.980469	587.067688
ENSG00000236754	AC004019.13	22	-	17580157	17589192	0.000000	0.000000	0.000000
ENSG00000131100	ATP6V1E1	22	-	17592136	17628818	19.524906	2368.021973	3519.640137
ENSG00000099968	BCL2L13	22	+	17628855	17730855	0.889126	386.132935	573.917358
ENSG00000015475	BID	22	-	17734138	17774770	1.515070	139.578812	207.458893
ENSG00000264757	MIR3198-1	22	-	17764180	17764259	0.000000	0.000000	0.000000
ENSG00000184979	USP18	22	+	18149899	18177397	0.298497	15.344391	22.806688
ENSG00000274044	AC011718.2	22	-	18361823	18391105	0.006115	0.405332	0.602454
ENSG00000276874	AC011718.3	22	+	18374106	18375689	0.000000	0.000000	0.000000
ENSG00000278558	TMEM191B	22	+	18527802	18530573	0.332849	23.848099	35.445923
ENSG00000225335	XXbac-B476C20.9	22	-	18076527	18078884	0.166516	11.260275	16.736380
ENSG00000215193	PEX26	22	+	18077920	18131138	1.231570	159.134354	236.524689
ENSG00000236890	XXbac-B476C20.11	22	-	18081466	18081675	0.000000	0.000000	0.000000
ENSG00000235617	XXbac-B476C20.10	22	+	18101612	18101888	0.000048	0.002467	0.003667
ENSG00000225225	ARL2BPP10	22	-	18102457	18103649	0.000000	0.000000	0.000000
ENSG00000183785	TUBA8	22	+	18110331	18146554	0.989963	382.676910	568.780640
ENSG00000280007	AC008079.10	22	-	18110759	18131154	0.026736	1.374378	2.042766
ENSG00000222630	RN7SKP131	22	-	18605802	18606102	0.000000	0.000000	0.000000
ENSG00000275793	RIMBP3	22	-	18605815	18611919	0.021622	1.111490	1.652031
ENSG00000274602	PI4KAP1	22	-	18533646	18577968	1.024556	114.384621	170.012238
ENSG00000243156	MICAL3	22	-	17787649	18024559	1.515255	528.260315	785.164307
ENSG00000093100	XXbac-B461K10.4	22	-	17787652	17811497	0.730626	37.558205	55.823540
ENSG00000207780	MIR648	22	-	17980868	17980961	0.000000	0.000000	0.000000
ENSG00000235445	XXbac-B476C20.14	22	-	17983205	17983619	0.753463	38.732151	57.568401
ENSG00000234913	XXbac-B476C20.13	22	-	18004270	18007308	0.134376	6.907667	10.267009
ENSG00000237446	RHEBP3	22	+	18019214	18020200	0.000000	0.000000	0.000000
ENSG00000241527	CA15P1	22	-	19031564	19034564	0.152486	7.838621	11.650705
ENSG00000100056	DGCR14	22	-	19130279	19144684	1.359320	86.382538	128.392166
ENSG00000206203	TSSK2	22	+	19130808	19132623	0.000000	0.000000	0.000000
ENSG00000260924	LINC01311	22	+	19171395	19172839	0.290657	14.941374	22.207672
ENSG00000100075	SLC25A1	22	-	19175575	19178830	2.256679	182.571259	271.359436
ENSG00000070413	DGCR2	22	-	19036282	19122454	5.908514	579.139160	860.786499
ENSG00000206739	Y_RNA	22	+	19045256	19045367	0.000000	0.000000	0.000000
ENSG00000273311	DGCR11	22	-	19046162	19048375	0.259711	13.350576	19.843241
ENSG00000237347	AC004461.4	22	+	19055801	19056512	0.000000	0.000000	0.000000
ENSG00000281530	DGCR12	22	-	19061041	19061843	0.315068	16.196232	24.072796
ENSG00000223461	AC004471.9	22	+	19121529	19124503	0.000000	0.000000	0.000000
ENSG00000272682	AC004471.10	22	-	19124309	19128449	0.000000	0.000000	0.000000
ENSG00000231086	TSSK1A	22	+	19124879	19125646	0.151042	7.764391	11.540377
ENSG00000070371	CLTCL1	22	-	19179473	19291716	0.451289	43.081264	64.032578
ENSG00000230194	AC000081.2	22	-	19238443	19238739	0.000000	0.000000	0.000000
ENSG00000251940	SNORA15	22	+	19249873	19249966	0.000000	0.000000	0.000000
ENSG00000233471	KRT18P62	22	+	19257520	19258806	0.000000	0.000000	0.000000
ENSG00000273907	CA15P2	22	-	18636445	18638405	0.000000	0.000000	0.000000
ENSG00000273643	PPP1R26P2	22	-	18650023	18653617	0.000000	0.000000	0.000000
ENSG00000278008	PPP1R26P4	22	+	18715815	18719341	0.000000	0.000000	0.000000
ENSG00000182824	AC008132.15	22	+	18733914	18757906	0.000000	0.000000	0.000000
ENSG00000197421	GGT3P	22	-	18773665	18843399	0.000000	0.000000	0.000000
ENSG00000239989	AC008132.14	22	-	18794414	18794804	0.000000	0.000000	0.000000
ENSG00000234764	E2F6P1	22	+	18833694	18834438	0.000000	0.000000	0.000000
ENSG00000161103	AC008132.13	22	+	18846811	18861049	0.000000	0.000000	0.000000
ENSG00000215544	BCRP7	22	-	18855621	18858640	0.000000	0.000000	0.000000
ENSG00000276095	AC008103.3	22	-	18873543	18894407	0.000000	0.000000	0.000000
ENSG00000279987	AC008103.4	22	-	18883502	18884682	0.000000	0.000000	0.000000
ENSG00000183628	DGCR6	22	+	18906028	18914238	1.802809	317.928436	472.543640
ENSG00000100033	PRODH	22	-	18912777	18936553	1.861371	386.272217	574.124451
ENSG00000279560	AC007326.1	22	+	18945123	18946971	0.000000	0.000000	0.000000
ENSG00000280418	AC007326.10	22	-	18951934	18959512	0.000000	0.000000	0.000000
ENSG00000237517	DGCR5	22	+	18970514	18994628	4.427012	320.923737	476.995636
ENSG00000283406	DGCR5	22	+	18970525	19031242	1.392898	71.602631	106.424484
ENSG00000283583	AC007326.12	22	-	18980695	18981325	0.000000	0.000000	0.000000
ENSG00000271275	AC007326.9	22	-	18997138	18997595	0.000000	0.000000	0.000000
ENSG00000283366	AC000095.12	22	+	18998274	19014786	2.169141	113.073929	168.064133
ENSG00000273032	DGCR9	22	+	19017834	19020248	2.785507	143.190414	212.826889
ENSG00000270393	AC000095.9	22	-	19018043	19018916	0.000000	0.000000	0.000000
ENSG00000273164	AC000095.11	22	+	19023056	19023550	1.841414	94.658829	140.693390
ENSG00000093009	CDC45	22	+	19479459	19520612	0.000000	0.000000	0.000000
ENSG00000184113	CLDN5	22	-	19523024	19527545	2.777778	306.714294	455.875793
ENSG00000100084	HIRA	22	-	19330698	19447450	2.918004	159.105972	236.482513
ENSG00000242259	C22orf39	22	-	19351368	19448232	1.043348	209.439117	311.293701
ENSG00000244296	RN7SL168P	22	+	19365766	19366044	0.000000	0.000000	0.000000
ENSG00000185608	MRPL40	22	+	19431902	19436075	2.291094	175.058502	260.193085
ENSG00000185065	AC000068.5	22	+	19447893	19450105	0.224482	11.539613	17.151566
ENSG00000070010	UFD1L	22	-	19449910	19479215	0.828260	105.272476	156.468674
ENSG00000273300	AC000068.9	22	+	19454179	19454605	0.018936	0.973415	1.446807
ENSG00000273212	AC000068.10	22	+	19456503	19456962	0.000000	0.000000	0.000000
ENSG00000184702	SEPT5	22	+	19714464	19724772	12.139999	2285.459229	3396.925537
ENSG00000203618	GP1BB	22	+	19722945	19724771	0.000000	0.000000	0.000000
ENSG00000184058	TBX1	22	+	19756703	19783593	0.000000	0.000000	0.000000
ENSG00000185838	GNB1L	22	-	19783224	19854939	0.306979	16.444006	24.441069
ENSG00000235776	AC000089.3	22	+	19792294	19793094	0.000000	0.000000	0.000000
ENSG00000215012	C22orf29	22	-	19846138	19854896	2.064358	108.155090	160.753159
ENSG00000183597	TANGO2	22	+	20017014	20065926	0.364273	228.107559	339.040985
ENSG00000208023	MIR185	22	+	20033139	20033220	0.000000	0.000000	0.000000
ENSG00000236540	AC006547.13	22	-	20058030	20070569	0.000000	0.000000	0.000000
ENSG00000268292	AC006547.15	22	-	20064552	20065705	0.000000	0.000000	0.000000
ENSG00000184470	TXNRD2	22	-	19875517	19941992	0.549777	226.691360	336.936096
ENSG00000232926	AC000078.5	22	+	19887289	19887970	0.000000	0.000000	0.000000
ENSG00000093010	COMT	22	+	19941607	19969975	0.819131	498.614929	741.101685
ENSG00000099889	ARVCF	22	-	19969896	20016808	3.893870	354.474365	526.862610
ENSG00000234409	CCDC188	22	-	20148427	20151065	0.000000	0.000000	0.000000
ENSG00000099904	ZDHHC8	22	+	20129456	20148007	1.152712	201.933807	300.138428
ENSG00000128191	DGCR8	22	+	20080232	20111877	0.978737	261.846497	389.187927
ENSG00000243762	AC006547.8	22	-	20110821	20111875	0.046210	2.375449	3.530679
ENSG00000099899	TRMT2A	22	-	20111866	20117392	2.228254	271.202728	403.094269
ENSG00000278278	MIR6816	22	-	20114686	20114751	0.545455	28.039392	41.675533
ENSG00000099901	RANBP1	22	+	20115938	20127357	1.543483	450.993469	670.320984
ENSG00000264346	SNORA77	22	+	20126402	20126526	0.156316	8.035504	11.943336
ENSG00000040608	RTN4R	22	-	20241415	20283246	2.161783	294.966370	438.414642
ENSG00000221039	MIR1286	22	-	20249134	20249211	0.320513	16.476137	24.488821
ENSG00000161132	XXbac-B444P24.10	22	+	20299760	20313216	0.000000	0.000000	0.000000
ENSG00000273139	XXbac-B444P24.14	22	+	20320739	20321203	1.180645	60.691662	90.207275
ENSG00000128185	DGCR6L	22	-	20314276	20320080	6.773397	348.993164	518.715759
ENSG00000273343	XXbac-B444P24.13	22	-	20318119	20318749	0.128368	6.598824	9.807968
ENSG00000185252	ZNF74	22	+	20394115	20408461	0.952648	90.375366	134.326782
ENSG00000244486	SCARF2	22	-	20424815	20437826	0.316915	16.757631	24.907215
ENSG00000277971	XXbac-B562F10.12	22	-	20429241	20446620	0.285992	14.701566	21.851242
ENSG00000099910	KLHL22	22	-	20441519	20495883	0.706587	249.158310	370.329163
ENSG00000215493	XXbac-B562F10.11	22	+	20450122	20451824	0.000000	0.000000	0.000000
ENSG00000255156	RNY1P9	22	-	20475203	20475311	0.000000	0.000000	0.000000
ENSG00000201916	Y_RNA	22	+	20481158	20481268	0.000000	0.000000	0.000000
ENSG00000242876	RN7SL812P	22	-	20481935	20482213	0.000000	0.000000	0.000000
ENSG00000236670	KRT18P5	22	-	20482815	20484105	0.529822	27.235771	40.481094
ENSG00000229107	ABHD17AP4	22	-	20667836	20670984	0.000000	0.000000	0.000000
ENSG00000223553	SMPD4P1	22	-	20602595	20656914	0.000000	0.000000	0.000000
ENSG00000276427	IGLL4P	22	+	20632619	20632751	0.000000	0.000000	0.000000
ENSG00000238125	SLC9A3P2	22	+	20652730	20654750	0.000000	0.000000	0.000000
ENSG00000226287	TMEM191A	22	+	20701114	20704606	0.309322	66.843254	99.350517
ENSG00000099917	MED15	22	+	20495913	20587632	0.378258	226.915131	337.268677
ENSG00000236003	AC007050.17	22	-	20522070	20523870	0.000000	0.000000	0.000000
ENSG00000250261	CCDC74BP1	22	-	20587496	20592218	0.000000	0.000000	0.000000
ENSG00000237476	XXbac-B135H6.15	22	+	20957092	20964679	1.052632	54.111088	80.426430
ENSG00000099942	CRKL	22	+	20917426	20953749	10.545540	542.098877	805.732849
ENSG00000187905	LRRC74B	22	+	21045960	21064168	0.000000	0.000000	0.000000
ENSG00000169668	BCRP2	22	+	21103016	21122285	0.021629	3.287897	4.886869
ENSG00000197210	KB-1592A4.15	22	-	21114607	21124451	0.000000	0.000000	0.000000
ENSG00000241973	PI4KA	22	-	20707691	20859417	10.871034	1586.114380	2357.474609
ENSG00000099937	SERPIND1	22	+	20773879	20787720	0.000000	0.000000	0.000000
ENSG00000099940	SNAP29	22	+	20858983	20891218	0.424660	82.336060	122.377792
ENSG00000272600	AC007308.7	22	-	20889206	20891214	0.000000	0.000000	0.000000
ENSG00000274600	RIMBP3B	22	+	21383374	21389478	0.029894	1.536716	2.284054
ENSG00000200057	RN7SKP63	22	+	21389191	21389491	0.000000	0.000000	0.000000
ENSG00000183773	AIFM3	22	+	20965108	20981360	1.990331	325.888702	484.375122
ENSG00000099949	LZTR1	22	+	20979462	20999038	2.064675	413.365509	614.393799
ENSG00000272829	XXbac-B135H6.18	22	-	20981361	20981755	0.000000	0.000000	0.000000
ENSG00000184436	THAP7	22	-	20999104	21002196	1.954327	155.707916	231.431915
ENSG00000230513	THAP7-AS1	22	+	21001886	21010342	0.249136	22.151611	32.924400
ENSG00000161149	TUBA3FP	22	-	21002895	21014292	0.346494	21.700684	32.254177
ENSG00000099957	P2RX6	22	+	21009808	21028830	0.569848	46.669472	69.365807
ENSG00000099960	SLC7A4	22	-	21028718	21032840	1.355537	73.719002	109.570084
ENSG00000226872	AC002472.11	22	+	21031357	21043969	0.000000	0.000000	0.000000
ENSG00000207575	MIR649	22	-	21034176	21034272	0.000000	0.000000	0.000000
ENSG00000206145	P2RX6P	22	-	21035243	21045017	1.019964	61.730568	91.751427
ENSG00000206140	TMEM191C	22	+	21466423	21471269	0.077249	11.917031	17.712532
