ensemblID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Symbol	UHR_Rep1	UHR_Rep2	UHR_Rep3	HBR_Rep1	HBR_Rep2	HBR_Rep3
ERCC-00130	14196.1300033614	2.05248919860385	0.0402012934106753	0	0	ERCC-00130	34882	22442	28573	4042	5337	4382
ERCC-00004	1858.91861461876	2.37680571281586	0.0648525155206742	5.75303722987661e-295	1.2915568581073e-292	ERCC-00004	4590	3332	3690	455	538	497
ENSG00000100321	538.978739067744	-4.81288791513741	0.141681302993897	8.24188209199241e-254	1.2335350197682e-251	SYNGR1	51	46	41	756	987	853
ENSG00000128245	815.646606163744	-2.65104402198982	0.0787928214112265	5.36060329367974e-249	6.01727719715551e-247	YWHAH	332	217	290	1024	1351	1139
ENSG00000100167	528.365637595752	-4.67016553294714	0.13907475164037	6.67045388529595e-248	5.99006758899576e-246	SEPT3	55	39	55	738	917	876
ENSG00000225783	416.512176531145	-4.09025372306067	0.13628195236969	8.43977936305076e-199	6.31576822334965e-197	MIAT	64	46	62	600	683	670
ERCC-00136	903.979093201951	2.1959647909518	0.0770699466559231	2.75737594603979e-179	1.76865971395981e-177	ERCC-00136	2222	1529	1798	259	302	243
ENSG00000241973	792.360370589021	-2.22480596510282	0.081462368830786	2.58150012598749e-165	1.44886694571048e-163	PI4KA	385	297	355	1043	1163	1033
ENSG00000100316	1670.15490888566	1.54099095913781	0.0589398543046176	3.82273369763028e-151	1.90711936692888e-149	RPL3	3988	2378	3021	653	754	716
ENSG00000184702	382.528453598601	-2.91756120827272	0.112103100610602	3.7237598065226e-150	1.67196815312865e-148	SEPT5	137	96	101	493	642	551
ENSG00000183741	608.826332262673	-2.04177931228226	0.0830076463642012	2.67139406630789e-134	1.09041448706568e-132	CBX6	358	234	298	736	873	828
ENSG00000100095	276.042348393326	-5.40864185552909	0.229066014348311	1.49968546737806e-123	5.61132312377291e-122	SEZ6L	15	13	19	393	499	452
ERCC-00002	19441.827777979	-0.938837470899986	0.0401418124603564	3.4633111612502e-121	1.19617439338565e-119	ERCC-00002	19987	12985	16992	18942	23626	21105
ENSG00000221890	268.779239245517	-3.36699299816205	0.144633268935122	6.1550949969481e-121	1.97402689544978e-119	NPTXR	68	59	49	383	442	392
ENSG00000251322	235.45296434881	-4.09589667658443	0.17561226601891	8.8622042558195e-121	2.6527531405753e-119	SHANK3	41	23	33	340	415	354
ENSG00000100345	1092.61833292444	1.58626897392763	0.0681878902257753	3.39972120482458e-120	9.54046763103898e-119	MYH9	2586	1552	2046	420	479	457
ENSG00000008735	284.487996614764	-5.7618022019377	0.250849540382321	5.24019458243509e-117	1.38402786324315e-115	MAPK8IP2	13	17	8	397	531	466
ENSG00000167074	225.692072419119	-3.93320975225079	0.17391610144589	6.00810441249142e-114	1.49868826733814e-112	TEF	43	32	28	331	382	340
ENSG00000100219	357.112333624826	2.77651984630724	0.1254280521781	3.98321749955445e-109	9.41297188052605e-108	XBP1	1016	619	720	64	91	71
ENSG00000100307	193.991960157879	-4.17864280152919	0.198854409496642	6.72175560229024e-99	1.50903413271416e-97	CBX7	24	24	27	261	355	302
ENSG00000128268	177.644969106811	-4.16519724948711	0.204903955322747	3.82525285392765e-92	8.17875491149293e-91	MGAT3	33	14	23	252	321	268
ENSG00000100427	188.818433642882	-5.27532677247847	0.26649168034273	1.9338665597031e-87	3.94684584230315e-86	MLC1	13	10	12	292	319	302
ERCC-00108	386.642880983923	2.18063653069265	0.115117579986224	9.3052029626747e-81	1.81653744793084e-79	ERCC-00108	923	614	834	109	111	125
ENSG00000128266	153.893481449206	-3.81294447344225	0.20381335645913	1.29121775474824e-78	2.41565321617483e-77	GNAZ	33	17	26	230	260	225
ENSG00000100285	148.826133154371	-3.87677968696909	0.211760131540072	1.16032161160507e-75	2.0839376144427e-74	NEFH	26	23	21	194	258	243
ERCC-00116	456.035918855585	2.05174860071562	0.112932516724893	1.67306773341877e-74	2.88925927809626e-73	ERCC-00116	1025	709	1007	150	144	143
ENSG00000100097	282.170463048991	2.27737878219049	0.128729629121353	1.17840328011899e-70	1.95964101027195e-69	LGALS1	720	441	602	75	88	76
ENSG00000100241	579.607595064022	-1.41063999947044	0.0797966112886419	2.44184721959891e-70	3.91567643428539e-69	SBF1	487	310	391	638	809	656
ENSG00000100297	176.565760903513	3.13438345650939	0.192895705350034	5.14968064391617e-60	7.97312623833918e-59	MCM5	513	271	422	26	30	33
ENSG00000099901	231.502975921164	2.24160184929615	0.139137104953508	5.51977248264539e-59	8.26125948235927e-58	RANBP1	581	389	464	54	75	71
ENSG00000130540	180.351113846821	-6.7471292853775	0.425435810425633	3.69140778471138e-56	5.34658740430777e-55	SULT4A1	4	5	3	283	324	281
ENSG00000100320	566.565435745174	-1.28000559071475	0.0818744342442014	1.65521624027585e-55	2.32247528713705e-54	RBFOX2	495	346	392	605	708	682
ENSG00000100353	303.721156141362	1.82232516393257	0.120349022709508	2.30870917217399e-52	3.14124369183673e-51	EIF3D	705	463	608	94	110	127
ENSG00000131100	324.31573747365	-1.56993670365784	0.104579127603407	1.7338692017125e-51	2.28972726932033e-50	ATP6V1E1	239	173	196	381	445	381
ENSG00000219438	94.7932861053033	-4.03244382473728	0.272500081654668	3.60499041464833e-50	4.62468770336315e-49	FAM19A5	17	14	9	136	157	151
ENSG00000128272	613.966894471575	1.16231921578301	0.0793071754550843	6.26634982726594e-49	7.81553075678447e-48	ATF4	1338	815	1048	288	350	305
ENSG00000100412	393.972875011852	-1.35199828809288	0.0931194907493052	3.49778511074228e-48	4.24460949925212e-47	ACO2	331	227	270	423	525	463
ENSG00000243156	273.583048917185	-1.69452143176934	0.118975781730968	1.43679598006607e-46	1.69768788170965e-45	MICAL3	187	119	176	294	378	371
ENSG00000100354	514.641656082676	-1.17167645562053	0.0831318166520373	2.10569559517435e-45	2.4242495441879e-44	TNRC6B	503	303	383	561	654	561
ENSG00000237517	91.3726325223762	-5.16364910426389	0.369208762437205	1.28533684950343e-44	1.4427906135676e-43	DGCR5	7	5	6	139	167	137
ENSG00000196419	694.772781242411	1.01820971736725	0.0756420259639413	1.45900376796727e-41	1.59778705321294e-40	XRCC6	1407	964	1110	360	409	370
ENSG00000166897	84.0662589080744	-3.38865515819585	0.255373646348822	7.21931595272699e-41	7.71779253041528e-40	ELFN2	19	9	26	115	148	121
ENSG00000100030	774.078084960068	-0.982018267750647	0.0735806379228238	7.85145529241384e-41	8.1983800611484e-40	MAPK1	821	486	652	734	940	891
ENSG00000167037	85.8284859192643	-5.65464953888672	0.439201613966676	6.68121874958936e-38	6.8178800421946e-37	SGSM1	4	3	5	128	161	131
ERCC-00092	148.228734691023	2.22493928323069	0.174451649679671	8.02412400904865e-38	8.00629262236188e-37	ERCC-00092	350	256	306	33	55	41
ENSG00000225465	105.694511661127	-6.37347759529076	0.494946725163836	1.54481654370692e-37	1.50787527853132e-36	RFPL1S	6	2	1	170	171	176
ENSG00000100242	372.900448032364	-1.28241580743182	0.100836588930452	2.2953071659748e-37	2.19275088834614e-36	SUN2	338	186	294	391	504	427
ENSG00000133424	139.207173323714	-2.01655802099156	0.163344194231116	1.19138625978143e-35	1.11444256383722e-34	LARGE1	78	48	79	165	202	190
ERCC-00003	1473.29623001092	-0.720780212227278	0.0592031600613644	3.1064758919291e-34	2.84654627648197e-33	ERCC-00003	1742	1098	1338	1451	1583	1518
ENSG00000100362	70.4999702309459	-3.07426164658288	0.258548554040641	2.58697138457721e-33	2.32310030335034e-32	PVALB	24	16	15	96	120	99
ENSG00000100100	87.4133678911751	-2.56232659583894	0.215776607662396	3.42323457762797e-33	3.01378887324502e-32	PIK3IP1	41	24	29	103	152	121
ENSG00000241878	167.848492266581	-1.61372061058006	0.141093558764315	9.02662397354107e-31	7.79414262330758e-30	PISD	132	81	96	184	231	217
ENSG00000100364	268.861404208649	-1.24442158017626	0.110152501244202	6.13550881624728e-30	5.19781784621703e-29	KIAA0930	250	160	187	297	345	300
ENSG00000183773	53.2584323698247	-3.96054653377792	0.363003920725146	2.06334851975949e-28	1.71563608402224e-27	AIFM3	7	7	9	80	76	91
ENSG00000100033	90.1839088626982	-2.23271018337892	0.204888707325795	2.4986308547403e-28	2.00336652460428e-27	PRODH	46	28	43	108	130	133
ENSG00000206195	70.1424771599639	3.96878557257459	0.363072640646421	2.49272678444719e-28	2.00336652460428e-27	DUXAP8	185	147	156	10	4	6
ERCC-00046	1590.73595727115	-0.656832756923977	0.0602219459668174	8.07685717130142e-28	6.36229626300761e-27	ERCC-00046	1905	1252	1468	1574	1670	1583
ENSG00000100077	195.932262604896	-1.43214669922863	0.133213851320348	2.10460798411301e-27	1.6292568704599e-26	GRK3	161	117	116	196	272	247
ENSG00000185666	49.4471166618472	-3.86387956879953	0.363083245877567	4.82504164779683e-27	3.6719384743403e-26	SYN3	9	6	8	64	98	71
ENSG00000040608	53.0760222747972	-3.25389193390733	0.307488184660125	8.79340805021769e-27	6.58040035757957e-26	RTN4R	18	8	11	69	91	81
ENSG00000138867	151.009536280117	1.70205556871524	0.160651468050121	1.00090037617075e-26	7.36728309673221e-26	GUCD1	379	212	286	59	59	57
ENSG00000100403	420.050486886513	-0.940278384574621	0.0891367918595213	3.18929097133971e-26	2.30966394537344e-25	ZC3H7B	442	280	357	403	510	465
ENSG00000182902	55.301616805876	-5.39387351333353	0.511745138243614	3.78008030655915e-26	2.69405723435724e-25	SLC25A18	1	3	5	88	104	77
ERCC-00113	4035.36718030708	-0.490164629439306	0.0468238828898611	1.044288212534e-25	7.32633449105884e-25	ERCC-00113	4933	3342	4272	3548	4295	3890
ENSG00000239900	121.748273510158	1.86618506522113	0.180177316663557	1.12787898459559e-25	7.79104098589877e-25	ADSL	316	183	226	40	44	45
ENSG00000099889	91.0641621789704	-1.9684582215333	0.198891360634379	1.24974905989227e-23	8.50208072563077e-23	ARVCF	68	31	40	116	132	115
ENSG00000211677	371.339813915626	12.9581656181385	3.12570112118692	3.53683200901853e-23	2.37020533141689e-22	IGLC2	1205	709	894	0	0	0
ENSG00000186732	81.2994433309817	-7.0998377079802	0.712609429135249	1.04556903582378e-22	6.90383083948348e-22	MPPED1	1	1	2	120	147	135
ENSG00000198832	55.9098365460626	-2.6207052672172	0.27327680024687	1.57704878623214e-22	1.02622450002642e-21	SELM	24	17	16	83	84	72
ENSG00000073150	40.6474426459988	-3.82502757613211	0.40090547313199	2.81630177347609e-22	1.80645642327252e-21	PANX2	6	7	6	52	65	72
ERCC-00043	912.533709942753	-0.631024630170847	0.0656715815390195	5.71058032038066e-22	3.61133882232523e-21	ERCC-00043	1089	725	866	854	979	923
ENSG00000100346	71.5647800451319	-6.91189770633205	0.715482091961463	1.74798413206885e-21	1.09006232680404e-20	CACNA1I	2	2	0	99	129	126
ENSG00000100330	203.346657943554	-1.16310236499464	0.124170328561726	3.67886185804778e-21	2.26275201953898e-20	MTMR3	197	121	152	210	258	234
ENSG00000185686	244.029667937685	12.2835268787279	3.06340510071267	5.74286130298918e-21	3.48451989870559e-20	PRAME	800	457	592	0	0	0
ENSG00000205593	58.7584394228035	-2.43486627852354	0.2639711848922	6.49622525129776e-21	3.88907351711026e-20	DENND6B	33	17	18	72	110	69
ENSG00000185133	38.7517174468549	-3.67095862556229	0.401893023829238	1.1859896138783e-20	7.00670179778103e-20	INPP5J	4	4	12	56	73	51
ENSG00000183628	45.7866548857378	-2.78098356413184	0.306314323934854	1.83444625778301e-20	1.06969658408386e-19	DGCR6	15	13	14	58	76	66
ENSG00000221963	136.640222454647	1.52464907356465	0.166846818528197	2.22151326921693e-20	1.27879417676718e-19	APOL6	328	189	251	63	54	56
ENSG00000172346	44.5581936746018	-5.65600172723743	0.613192449461309	3.75349896504594e-20	2.13331776620966e-19	CSDC2	4	2	0	68	89	62
ENSG00000128203	51.2854721323357	-2.69519603078425	0.301473237535974	7.0200207260542e-20	3.93998663249792e-19	ASPHD2	19	10	21	56	72	94
ENSG00000100234	384.272794610694	0.868584355996828	0.0957325638584432	7.88971501933719e-20	4.37343462183012e-19	TIMP3	793	484	598	190	253	234
ENSG00000198911	508.263390121294	-0.78185184328198	0.0871962779612895	2.25681565507835e-19	1.23574418186607e-18	SREBF2	572	343	491	452	634	524
ENSG00000128342	48.6064890214019	4.76019528660482	0.535556216395729	4.75346074815124e-19	2.57145045291555e-18	LIF	152	96	106	2	3	3
ENSG00000183864	186.154390203158	-1.18126336901223	0.133749162839254	4.96981754388415e-19	2.65648580619522e-18	TOB2	170	114	141	193	266	189
ENSG00000100129	371.272315426229	0.86041525728894	0.0975952271318241	7.89049197613999e-19	4.16803634974924e-18	EIF3L	731	459	611	207	233	214
ENSG00000100027	53.5366268558073	-2.32513434437556	0.268139978562218	1.00352839602165e-18	5.23935174201999e-18	YPEL1	31	15	20	61	96	69
ENSG00000100302	42.7169762952586	-2.74131705813881	0.318390855562551	1.19716883376159e-18	6.17849202711442e-18	RASD2	13	12	15	52	78	57
ENSG00000168135	41.498688381819	-5.79756581397284	0.663631954562486	3.53921849318714e-18	1.8058057993648e-17	KCNJ4	2	0	3	65	81	58
ENSG00000070413	283.981431067736	-0.96997899179583	0.112412581896831	3.83695795469483e-18	1.93572373219997e-17	DGCR2	297	163	262	294	341	303
ENSG00000279010	114.932097220877	-1.46067362932829	0.171598540033495	5.78600261413007e-18	2.88657241527156e-17	MIR4534	92	71	63	137	156	127
ENSG00000100075	91.5761207078606	1.75950858010647	0.210855708378258	2.352258697936e-17	1.16061995095963e-16	SLC25A1	208	126	201	26	44	33
ENSG00000100300	50.0860747149675	2.55184972605881	0.310911990737387	5.07880390102333e-17	2.4786771212603e-16	TSPO	131	82	110	12	10	13
ENSG00000169635	74.4229678893685	1.91800456427629	0.234429875099469	7.76245381923078e-17	3.74767931702647e-16	HIC2	207	106	138	26	24	26
ENSG00000185386	51.1916083081114	-2.2023786236741	0.272408544309182	1.15224549687664e-16	5.50381093720861e-16	MAPK11	21	20	25	56	82	73
ENSG00000130638	200.704465110709	-1.04635170213967	0.128984462964901	2.58418564316177e-16	1.22136774082067e-15	ATXN10	184	141	160	191	244	239
ENSG00000128340	39.8847527057181	3.07989718789098	0.385535627714586	3.56815826509941e-16	1.6688573552392e-15	RAC2	107	74	87	7	8	5
ENSG00000075218	45.8223614401039	5.32661338712122	0.654471717084355	5.07208921873711e-16	2.34780212289996e-15	GTSE1	134	92	109	2	2	1
ERCC-00095	67.6278992645735	1.89804673655989	0.240383565592628	8.63262577525252e-16	3.95515201335549e-15	ERCC-00095	165	112	125	20	30	20
