Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000236097	BNIP3P2	22	+	15349467	15350043	0.105719	4.164284	5.564325
ENSG00000279442	LA16c-60D12.2	22	-	15298378	15304556	0.043858	1.727572	2.308385
ENSG00000184624	ZNF72P	22	-	15326037	15343065	0.000000	0.000000	0.000000
ENSG00000230471	LA16c-2F2.8	22	-	15600908	15604882	0.000000	0.000000	0.000000
ENSG00000231565	NEK2P2	22	-	15611759	15613096	0.144245	5.681828	7.592071
ENSG00000224435	NF1P6	22	-	15622601	15632051	0.156458	6.162899	8.234879
ENSG00000237299	LA16c-60G3.6	22	+	15541436	15578006	0.000000	0.000000	0.000000
ENSG00000235759	ARHGAP42P3	22	-	15550904	15553838	0.000000	0.000000	0.000000
ENSG00000233408	LA16c-23H5.4	22	-	15557577	15560694	0.000000	0.000000	0.000000
ENSG00000215268	LA16c-60G3.8	22	-	15562017	15564276	0.154425	6.082819	8.127876
ENSG00000213727	LA16c-60G3.7	22	-	15572089	15573265	0.000000	0.000000	0.000000
ENSG00000198062	POTEH	22	+	15690026	15721631	0.504473	23.633207	31.578739
ENSG00000236666	POTEH-AS1	22	-	15699361	15703403	0.000000	0.000000	0.000000
ENSG00000212216	RNU6-816P	22	+	15701459	15701565	0.000000	0.000000	0.000000
ENSG00000241838	LA16c-3G11.7	22	+	15721486	15722608	0.259789	10.233119	13.673516
ENSG00000225255	LINC01297	22	+	15746630	15778297	0.000000	0.000000	0.000000
ENSG00000235992	GRAMD4P2	22	-	15749156	15750825	0.000000	0.000000	0.000000
ENSG00000233866	LA16c-4G1.3	22	-	15914721	15915800	0.000000	0.000000	0.000000
ENSG00000225293	ABCD1P4	22	+	16387694	16390887	0.000000	0.000000	0.000000
ENSG00000229658	PABPC1P9	22	+	16423943	16426031	0.000000	0.000000	0.000000
ENSG00000239435	KCNMB3P1	22	-	16575363	16582707	0.000000	0.000000	0.000000
ENSG00000227367	SLC9B1P4	22	-	16428947	16476870	0.000000	0.000000	0.000000
ENSG00000206195	DUXAP8	22	+	15784959	15829984	5.243309	611.512390	817.104248
ENSG00000271127	LL22NC03-N64E9.1	22	+	15796959	15798346	0.984150	38.765785	51.798927
ENSG00000232775	BMS1P22	22	-	15805263	15820884	0.000000	0.000000	0.000000
ENSG00000272872	LL22NC03-N14H11.1	22	+	15823197	15823890	8.227665	324.088684	433.048035
ENSG00000271672	DUXAP8	22	+	15826566	15827187	0.239304	9.426213	12.595326
ENSG00000223875	NBEAP3	22	+	15852990	15893942	0.329203	12.967345	17.326996
ENSG00000215270	LA16c-60H5.7	22	-	15854195	15855243	0.000000	0.000000	0.000000
ENSG00000254264	IGKV3OR22-2	22	-	16925952	16926444	0.000000	0.000000	0.000000
ENSG00000172967	XKR3	22	-	16783412	16821699	0.319527	12.586206	16.817717
ENSG00000100181	TPTEP1	22	+	16601887	16698742	0.600050	136.004425	181.729416
ENSG00000283633	AC005301.9	22	+	16601911	16615111	0.702261	47.595474	63.597176
ENSG00000267338	KB-7G2.9	22	+	16616170	16617114	1.109890	43.718700	58.417023
ENSG00000249288	SLC25A15P5	22	-	16645695	16646581	0.000000	0.000000	0.000000
